Title;Abstract;annotator1_Label;annotator1_Explanation (optional);annotator1_evidence;annotator2_Label;annotator2_Explanation (optional);annotator2_evidence;annotator3_Label;annotator3_Explanation (optional);annotator3_evidence;annotator4_Label;annotator4_Explanation (optional);annotator4_evidence;FinalLabel;Venue;Date
Toward Grounded Commonsense Reasoning;"Consider a robot tasked with tidying a desk with a meticulously constructed Lego sports car. A human may recognize that it is not appropriate to disassemble the sports car and put it away as part of the ""tidying."" How can a robot reach that conclusion? Although large language models (LLMs) have recently been used to enable commonsense reasoning, grounding this reasoning in the real world has been challenging. To reason in the real world, robots must go beyond passively querying LLMs and actively gather information from the environment that is required to make the right decision. For instance, after detecting that there is an occluded car, the robot may need to actively perceive the car to know whether it is an advanced model car made out of Legos or a toy car built by a toddler. We propose an approach that leverages an LLM and vision language model (VLM) to help a robot actively perceive its environment to perform grounded commonsense reasoning. To evaluate our framework at scale, we release the MessySurfaces dataset which contains images of 70 real-world surfaces that need to be cleaned. We additionally illustrate our approach with a robot on 2 carefully designed surfaces. We find an average 12.9% improvement on the MessySurfaces benchmark and an average 15% improvement on the robot experiments over baselines that do not use active perception. The dataset, code, and videos of our approach can be found at https://minaek.github.io/grounded_commonsense_reasoning.";2;The paper mentions limitations of LLMs reasoning in the real world, but the main focus is on creating a solution with the help of LLMs.;"""Although large language models (LLMs) have recently been used to enable commonsense reasoning, grounding this reasoning in the real world has been challenging.""";2;engages with complex reasoning limitations but mostly focuses on a solution approach based on exploration strategies;"""grounding this reasoning in the real world has been challenging""";2;"ADJUSTED: previously 3

It does discuss a limitation, which is inability to fully ground commonsense reasoning in the real world. But the main focus is on the solution which integrates LLMs with VLMs";"""Although large language models (LLMs) have recently been used to enable commonsense reasoning, grounding this reasoning in the real world has been challenging.""";1;virtually no limitations mentioned;;2;arxiv;14 June 2023
Gotcha! Don't trick me with unanswerable questions! Self-aligning Large Language Models for Responding to Unknown Questions;Despite the remarkable abilities of Large Language Models (LLMs) to answer questions, they often display a considerable level of overconfidence even when the question does not have a definitive answer. To avoid providing hallucinated answers to these unknown questions, existing studies typically investigate approaches to refusing to answer these questions. In this work, we propose a novel and scalable self-alignment method to utilize the LLM itself to enhance its response-ability to different types of unknown questions, being capable of not only refusing to answer but also providing explanation to the unanswerability of unknown questions. Specifically, the Self-Align method first employ a two-stage class-aware self-augmentation approach to generate a large amount of unknown question-response data. Then we conduct disparity-driven self-curation to select qualified data for fine-tuning the LLM itself for aligning the responses to unknown questions as desired. Experimental results on two datasets across four types of unknown questions validate the superiority of the Self-Align method over existing baselines in terms of three types of task formulation.;2;The paper focuses on overcoming the problems of overconfidence and hallucinations in LLMs by proposing a new method.;"""they often display a considerable level of overconfidence even when the question does not have a definitive answer. To avoid providing hallucinated answers to these unknown questions, existing studies typically investigate approaches to refusing to answer these questions.""";2;uses hallucinations as jump-off point for a new alignment method;"""they often display a considerable level of overconfidence even when the question does not have a definitive answer"", ""hallucinated answers""";2;Quite a detailed discussion of a limitation of LLMs which is hallucinations when giving answers to unknown questions. Also proposes a solution which is the main focus of the paper;"""Despite the remarkable abilities of Large Language Models (LLMs) to answer questions, they often display a considerable level of overconfidence even when the question does not have a definitive answer.""";2;only in the first sentence;;2;arxiv;23 February 2024
Discovering Differences in the Representation of People using Contextualized Semantic Axes;A common paradigm for identifying semantic differences across social and temporal contexts is the use of static word embeddings and their distances. In particular, past work has compared embeddings against “semantic axes” that represent two opposing concepts. We extend this paradigm to BERT embeddings, and construct contextualized axes that mitigate the pitfall where antonyms have neighboring representations. We validate and demonstrate these axes on two people-centric datasets: occupations from Wikipedia, and multi-platform discussions in extremist, men’s communities over fourteen years. In both studies, contextualized semantic axes can characterize differences among instances of the same word type. In the latter study, we show that references to women and the contexts around them have become more detestable over time.;1;;;2;does not mention bias explicitly but seems to be concerned strongly with bias;"""we show that references to women and the contexts around them have become more detestable over time""";1;Not sure - is BERT an LLM? I would maybe still count it as an LLM since there are still a lot of discussions of BERT-like models in 2022 ;;1;;;1;emnlp2022;December 2022
Bad Actor, Good Advisor: Exploring the Role of Large Language Models in Fake News Detection;Detecting fake news requires both a delicate sense of diverse clues and a profound understanding of the real-world background, which remains challenging for detectors based on small language models (SLMs) due to their knowledge and capability limitations. Recent advances in large language models (LLMs) have shown remarkable performance in various tasks, but whether and how LLMs could help with fake news detection remains underexplored. In this paper, we investigate the potential of LLMs in fake news detection. First, we conduct an empirical study and find that a sophisticated LLM such as GPT 3.5 could generally expose fake news and provide desirable multi-perspective rationales but still underperforms the basic SLM, fine-tuned BERT. Our subsequent analysis attributes such a gap to the LLM's inability to select and integrate rationales properly to conclude. Based on these findings, we propose that current LLMs may not substitute fine-tuned SLMs in fake news detection but can be a good advisor for SLMs by providing multi-perspective instructive rationales. To instantiate this proposal, we design an adaptive rationale guidance network for fake news detection (ARG), in which SLMs selectively acquire insights on news analysis from the LLMs' rationales. We further derive a rationale-free version of ARG by distillation, namely ARG-D, which services cost-sensitive scenarios without querying LLMs. Experiments on two real-world datasets demonstrate that ARG and ARG-D outperform three types of baseline methods, including SLM-based, LLM-based, and combinations of small and large language models.;3;The paper deals with fake news detection and the limits of current models, the main focus is how to combine the models to improve the results.;"""which remains challenging for detectors based on small language models (SLMs) due to their knowledge and capability limitations."", ""LLM such as GPT 3.5 could generally expose fake news and provide desirable multi-perspective rationales but still underperforms the basic SLM, fine-tuned BERT."", ""Our subsequent analysis attributes such a gap to the LLM's inability to select and integrate rationales properly to conclude.""";2;mentions limitations in fake news detection but mostly focuses on methods to improve;"""current LLMs may not substitute fine-tuned SLMs in fake news detection""";4;Discusses fake news detection as a challenge for LLMs especially when compared with small LMs, but the main focus is ;"""Detecting fake news requires both a delicate sense of diverse clues and a
profound understanding of the real-world background, which remains challenging
for detectors based on small language models (SLMs) due to their knowledge and
capability limitations"", ""a sophisticated LLM such as GPT 3.5 could
generally expose fake news and provide desirable multi-perspective rationales
but still underperforms the basic SLM, fine-tuned BERT"", ""Our subsequent analysis
attributes such a gap to the LLM's inability to select and integrate rationales
properly to conclude."", ""Based on these findings, we propose that current LLMs may
not substitute fine-tuned SLMs in fake news detection""";3;limitations are mentioned, a few, but maybe not in the required depth for 4;;3;arxiv;21 September 2023
Generating Coherent Drum Accompaniment With Fills And Improvisations;Creating a complex work of art like music necessitates profound creativity.  With recent advancements in deep learning and powerful models such as  transformers, there has been huge progress in automatic music generation. In an  accompaniment generation context, creating a coherent drum pattern with  apposite fills and improvisations at proper locations in a song is a  challenging task even for an experienced drummer. Drum beats tend to follow a  repetitive pattern through stanzas with fills or improvisation at section  boundaries. In this work, we tackle the task of drum pattern generation  conditioned on the accompanying music played by four melodic instruments:  Piano, Guitar, Bass, and Strings. We use the transformer sequence to sequence  model to generate a basic drum pattern conditioned on the melodic accompaniment  to find that improvisation is largely absent, attributed possibly to its  expectedly relatively low representation in the training data. We propose a  novelty function to capture the extent of improvisation in a bar relative to  its neighbors. We train a model to predict improvisation locations from the  melodic accompaniment tracks. Finally, we use a novel BERT-inspired in-filling  architecture, to learn the structure of both the drums and melody to in-fill  elements of improvised music.;0;The paper deals with transformers, but not for language tasks.;;1;;;1;Maybe 0 if we do not include BERT into definition;;1;catastrophic forgetting only mentioned en passant;;1;arxiv;01 September 2022
Unlocking Adversarial Suffix Optimization Without Affirmative Phrases: Efficient Black-box Jailbreaking via LLM as Optimizer;Despite prior safety alignment efforts, mainstream LLMs can still generate  harmful and unethical content when subjected to jailbreaking attacks. Existing  jailbreaking methods fall into two main categories: template-based and  optimization-based methods. The former requires significant manual effort and  domain knowledge, while the latter, exemplified by Greedy Coordinate Gradient  (GCG), which seeks to maximize the likelihood of harmful LLM outputs through  token-level optimization, also encounters several limitations: requiring  white-box access, necessitating pre-constructed affirmative phrase, and  suffering from low efficiency. In this paper, we present ECLIPSE, a novel and  efficient black-box jailbreaking method utilizing optimizable suffixes. Drawing  inspiration from LLMs' powerful generation and optimization capabilities, we  employ task prompts to translate jailbreaking goals into natural language  instructions. This guides the LLM to generate adversarial suffixes for  malicious queries. In particular, a harmfulness scorer provides continuous  feedback, enabling LLM self-reflection and iterative optimization to  autonomously and efficiently produce effective suffixes. Experimental results  demonstrate that ECLIPSE achieves an average attack success rate (ASR) of 0.92  across three open-source LLMs and GPT-3.5-Turbo, significantly surpassing GCG  in 2.4 times. Moreover, ECLIPSE is on par with template-based methods in ASR  while offering superior attack efficiency, reducing the average attack overhead  by 83%.;2;The paper deals with the topic of jailbreaking LLMs, but the main focus is on the new method proposed and not on the limitations due to the jailbreak.;"""Despite prior safety alignment efforts, mainstream LLMs can still generate  harmful and unethical content when subjected to jailbreaking attacks."", ""This guides the LLM to generate adversarial suffixes for  malicious queries.""";3;entirely focused on adversarial/jailbreaking attacks;"""mainstream LLMs can still generate  harmful and unethical content when subjected to jailbreaking attacks"", ""average attack success rate (ASR) of 0.92  across three open-source LLMs and GPT-3.5-Turbo""";3;Mentions a limitation in jailbreaking attacks but it is not as central as a solution;"""Despite prior safety alignment efforts, mainstream LLMs can still generate
 harmful and unethical content when subjected to jailbreaking attacks.""";3;not strong enough to warrant 4, in my opinion;;3;arxiv;21 August 2024
AnaloBench: Benchmarking the Identification of Abstract and Long-context Analogies;Humans regularly engage in analogical thinking, relating personal experiences to current situations ($X$ is analogous to $Y$ because of $Z$). Analogical thinking allows humans to solve problems in creative ways, grasp difficult concepts, and articulate ideas more effectively. Can language models (LMs) do the same? To answer this question, we propose ANALOBENCH, a benchmark to determine analogical reasoning ability in LMs. Our benchmarking approach focuses on aspects of this ability that are common among humans: (i) recalling related experiences from a large amount of information, and (ii) applying analogical reasoning to complex and lengthy scenarios. We test a broad collection of proprietary models (e.g., GPT family, Claude V2) and open source models such as LLaMA2. As in prior results, scaling up LMs results in some performance boosts. Surprisingly, scale offers minimal gains when, (i) analogies involve lengthy scenarios, or (ii) recalling relevant scenarios from a large pool of information, a process analogous to finding a needle in a haystack. We hope these observations encourage further research in this field.;1;The paper introduces a new benchmark to measure the ability for analogical reasoning in LLMs without refering to limitations of them.;;4;identifies multiple limitations with a novel analogical reasoning benchmark;"""scale offers minimal gains when, (i) analogies involve lengthy scenarios, or (ii) recalling relevant scenarios from a large pool of information""";4;"Adjusted: previosuly 5 

Discusses analogical reasoning as a limitation, and it is investigated quite extensively, even though it is done in the context of developing a benchmark";"""Surprisingly, scale offers minimal gains when, (i)
analogies involve lengthy scenarios, or (ii) recalling relevant scenarios from
a large pool of information, a process analogous to finding a needle in a
haystack""";4;ok, maybe this is enough to pass the barrier, but I'd rate it more as 3.5 actually;;3;emnlp2024;November 2024
Zero-shot cross-lingual transfer in instruction tuning of large language model;Instruction tuning (IT) is widely used to teach pretrained large language models (LLMs) to follow arbitrary instructions, but is under-studied in multilingual settings. In this work, we conduct a systematic study of zero-shot cross-lingual transfer in IT, when an LLM is instruction-tuned on English-only data and then tested on user prompts in other languages. We investigate the influence of model configuration choices and devise a multi-facet evaluation strategy for multilingual instruction following. We find that cross-lingual transfer does happen successfully in IT even if all stages of model training are English-centric, but only if multiliguality is taken into account in hyperparameter tuning and with large enough IT data. English-trained LLMs are capable of generating correct-language, comprehensive and helpful responses in the other languages, but suffer from low factuality and may occasionally have fluency errors.;4;The paper deals with limitations of cross-lingual transfer in LLMs;"""but suffer from low factuality and may occasionally have fluency errors.""";2;mentions limitations in multilingual instruction tuning but only in passing;"""cross-lingual transfer does happen successfully in IT""";3;A limitation is well-defined (cross-lingual transfer in IT of LLMs), but it is not discussed extensively. Just explored to some extent ;"""cross-lingual
transfer"", ""in IT"", ""but only if multiliguality is taken into account in
hyperparameter tuning and with large enough IT data"", ""but suffer from low factuality and may occasionally have
fluency errors.""";2;2-3. It outlines limitations but also strengths;;3;arxiv;22 February 2024
HPT: Hierarchy-aware Prompt Tuning for Hierarchical Text Classification;Hierarchical text classification (HTC) is a challenging subtask of  multi-label classification due to its complex label hierarchy. Recently, the  pretrained language models (PLM)have been widely adopted in HTC through a  fine-tuning paradigm. However, in this paradigm, there exists a huge gap  between the classification tasks with sophisticated label hierarchy and the  masked language model (MLM) pretraining tasks of PLMs and thus the potentials  of PLMs can not be fully tapped. To bridge the gap, in this paper, we propose  HPT, a Hierarchy-aware Prompt Tuning method to handle HTC from a multi-label  MLM perspective. Specifically, we construct a dynamic virtual template and  label words that take the form of soft prompts to fuse the label hierarchy  knowledge and introduce a zero-bounded multi-label cross entropy loss to  harmonize the objectives of HTC and MLM. Extensive experiments show HPT  achieves state-of-the-art performances on 3 popular HTC datasets and is adept  at handling the imbalance and low resource situations. Our code is available at  https://github.com/wzh9969/HPT.;2;The paper deals limitations of masked language models, but the main focus is on the proposed solution.;"""However, in this paradigm, there exists a huge gap  between the classification tasks with sophisticated label hierarchy and the  masked language model (MLM) pretraining tasks of PLMs and thus the potentials  of PLMs can not be fully tapped.""";2;mentions limitations for hierarchical text classification;"""huge gap  between the classification tasks with sophisticated label hierarchy and the  masked language model (MLM) pretraining tasks of PLMs""";1;I think it mentions mostly a limitation of a task;;2;not a thorough discussion of limitations. Only states that the pretraining task differs from certain classification tasks, 1 or 2;;2;emnlp2022;December 2022
SCITAB: A Challenging Benchmark for Compositional Reasoning and Claim Verification on Scientific Tables;Current scientific fact-checking benchmarks exhibit several shortcomings, such as biases arising from crowd-sourced claims and an over-reliance on text-based evidence. We present SCITAB, a challenging evaluation dataset consisting of 1.2K expert-verified scientific claims that 1) originate from authentic scientific publications and 2) require compositional reasoning for verification. The claims are paired with evidence-containing scientific tables annotated with labels. Through extensive evaluations, we demonstrate that SCITAB poses a significant challenge to state-of-the-art models, including table-based pretraining models and large language models. All models except GPT-4 achieved performance barely above random guessing. Popular prompting techniques, such as Chain-of-Thought, do not achieve much performance gains on SCITAB. Our analysis uncovers several unique challenges posed by SCITAB, including table grounding, claim ambiguity, and compositional reasoning. Our codes and data are publicly available at https://github.com/XinyuanLu00/SciTab.;2;The paper proposes a new benchmark to fact-check LLMs.;"""Through extensive evaluations, we demonstrate that SCITAB poses a significant challenge to state-of-the-art models, including table-based pretraining models and large language models. All models except GPT-4 achieved performance barely above random guessing. Popular prompting techniques, such as Chain-of-Thought, do not achieve much performance gains on SCITAB. Our analysis uncovers several unique challenges posed by SCITAB, including table grounding, claim ambiguity, and compositional reasoning.""";5;entirely focused on evaluating compositional reasoning limitations in LLMs;"""we demonstrate that SCITAB poses a significant challenge to state-of-the-art models, including table-based pretraining models and large language models. All models except GPT-4 achieved performance barely above random guessing. Popular prompting techniques, such as Chain-of-Thought, do not achieve much performance gains on SCITAB. Our analysis uncovers several unique challenges posed by SCITAB, including table grounding, claim ambiguity, and compositional reasoning""";4;The main focus is developing a benchmark, closing a gap in some evaluation techniques. But they find that LLMs struggle in scientific claims ;"""SCITAB poses a significant challenge to state-of-the-art models, including
table-based pretraining models and large language models. All models except
GPT-4 achieved performance barely above random guessing. Popular prompting
techniques, such as Chain-of-Thought, do not achieve much performance gains on
SCITAB. Our analysis uncovers several unique challenges posed by SCITAB,
including table grounding, claim ambiguity, and compositional reasoning.""";4;3-4. limitations mentioned, borderline though as other models are also included;;4;emnlp2023;December 2023
ChroniclingAmericaQA: A Large-scale Question Answering Dataset based on Historical American Newspaper Pages;Question answering (QA) and Machine Reading Comprehension (MRC) tasks have significantly advanced in recent years due to the rapid development of deep learning techniques and, more recently, large language models. At the same time, many benchmark datasets have become available for QA and MRC tasks. However, most existing large-scale benchmark datasets have been created predominantly using synchronous document collections like Wikipedia or the Web. Archival document collections, such as historical newspapers, contain valuable information from the past that is still not widely used to train large language models. To further contribute to advancing QA and MRC tasks and to overcome the limitation of previous datasets, we introduce ChroniclingAmericaQA, a large-scale dataset with 485K question-answer pairs created based on the historical newspaper collection Chronicling America. Our dataset is constructed from a subset of the Chronicling America newspaper collection spanning 120 years. One of the significant challenges for utilizing digitized historical newspaper collections is the low quality of OCR text. Therefore, to enable realistic testing of QA models, our dataset can be used in three different ways: answering questions from raw and noisy content, answering questions from cleaner, corrected version of the content, as well as answering questions from scanned images of newspaper pages. This and the fact that ChroniclingAmericaQA spans the longest time period among available QA datasets make it quite a unique and useful resource.;1;A benchmark dataset is presented, but no limitations of LLMs are mentioned.;;2;mentions limitations in historical focus but mostly focuses on the advantages of a newly developed data set;"""valuable information from the past that is still not widely used to train large language models""";1;The focus is on the dataset entirely;;1;;;1;arxiv;26 March 2024
DynaThink: Fast or Slow? A Dynamic Decision-Making Framework for Large Language Models;Large language models (LLMs) have demonstrated emergent capabilities across diverse reasoning tasks via popular Chains-of-Thought (COT) prompting. However, such a simple and fast COT approach often encounters limitations in dealing with complicated problems, while a thorough method, which considers multiple reasoning pathways and verifies each step carefully, results in slower inference. This paper addresses the challenge of enabling LLMs to autonomously select between fast and slow inference methods, thereby optimizing both efficiency and effectiveness. We introduce a dynamic decision-making framework that categorizes tasks into two distinct pathways: ‘Fast,’ designated for tasks where the LLM quickly identifies a high-confidence solution, and ‘Slow,’ allocated for tasks that the LLM perceives as complex and for which it has low confidence in immediate solutions as well as requiring more reasoning paths to verify. Experiments on five popular reasoning benchmarks demonstrated the superiority of the DynaThink over baselines. For example, when we compared it to strong COT with self-consistency baseline on the complicated MATH dataset, DynaThink achieved more than 3% increase in accuracy with lower cost. The code will be made available upon publication.;3;This paper deals with limitation of LLMs to deal with complicated problems and proposes a solution do overcome it.;"""However, such a simple and fast COT approach often encounters limitations in dealing with complicated problems, while a thorough method, which considers multiple reasoning pathways and verifies each step carefully, results in slower inference.""";3;mentions computational and reasoning limitations;"""limitations in dealing with complicated problems"", ""challenge of enabling LLMs to autonomously select between fast and slow inference methods""";2;Mostly focused on a method to elicit reasoning in LLMs, just briefly mentions limitations (where LLMs gives a low confidence score), but not in the context we want;"""However, such a simple and fast COT approach often encounters limitations in dealing with complicated problems, while a thorough method, which considers multiple reasoning pathways and verifies each step carefully, results in slower inference.""";3;2-3;;3;emnlp2024;November 2024
